cell_height,light_count,lamp_count,light_device,lamp_type,light_power,time,days,marker
,2,Ксенон Crystal 236 LED,Светодиод,72,12,192,,
,1,Jazzway PFL- C3 50w 6500K IP65 ,Светодиод,50,12,192,Замена,
,2,ЗСП Classic/S-236-22,Люминесцентная лампа,72,,,,
,2,Ксенон Crystal 236 LED,Светодиод,72,12,192,,
,2,Ксенон Crystal 236 LED,Светодиод,72,12,192,,
,2,Ксенон Crystal 236 LED,Светодиод,72,7,192,,
,2,ЗСП Classic/S-236-22,Люминесцентная лампа,72,7,192,Замена,
,2,Ксенон Crystal 236 LED,Светодиод,72,7,192,,
,2,Ксенон Crystal 236 LED,Светодиод,72,15,299,,
,1,"Элетех ""Зефир"" 240 НПО 22-100-220 опал ГУ Светильник",Светодиод,100,15,299,,
,1,Элетех НББ-64-60,Светодиод,60,15,299,,
,2,Ксенон Crystal 236 LED,Светодиод,72,15,192,,
,2,Ксенон Crystal 236 LED,Светодиод,72,12,192,,
,2,Ксенон Crystal 236 LED,Светодиод,72,12,192,,
,2,Ксенон ЛПО01-2х36-012 Кристалл,Люминесцентная лампа,72,,,Замена,
,2,Ксенон Crystal 236 LED,Светодиод,72,7,192,,
,2,Ксенон Crystal 236 LED,Светодиод,72,12,192,,
,2,Ксенон Crystal 236 LED,Светодиод,72,12,192,,
,2,Ксенон Crystal 236 LED,Светодиод,72,12,192,,
,2,Ксенон Crystal 236 LED,Светодиод,72,7,192,,
,2,Ксенон Crystal 236 LED,Светодиод,72,12,192,,
,4,JazzWay PPL 595/U 36w 6500K 3000Lm IP40 AC180-265V (370mA 19mm),Светодиод,144,7,192,,
,1,Элетех НББ-64-60,Светодиод,60,,,,
,1,Элетех НББ-64-60,Светодиод,60,7,192,,
,2,Ксенон Crystal 236 LED,Светодиод,72,15,192,,
,2,Ксенон Crystal 236 LED,Светодиод,72,0.1,60,Замена,
,1,Ксенон ЛПО01-1х36-012 Кристалл,Люминесцентная лампа,36,,,,
,светодиодные ,6,1,210,,светодиодные _6,светодиодные _6,светодиодные _6
,светодиодные ,6,1,210,,светодиодные _6,,светодиодные _36
,светодиодные ,6,1,210,,светодиодные _6,,люмин._72
,светодиодные ,36,5,210,,светодиодные _36,светодиодные _36,светодиодные _24
,светодиодные ,36,2,210,,светодиодные _36,,светодиодные _88
,светодиодные ,36,3,210,,светодиодные _36,,
,светодиодные ,36,3,210,,светодиодные _36,,
,светодиодные ,36,7,210,,светодиодные _36,,
,светодиодные ,36,7,210,,светодиодные _36,,
,светодиодные ,6,3,210,,светодиодные _6,,
,светодиодные ,6,5,210,,светодиодные _6,,
,светодиодные ,6,5,210,,светодиодные _6,,
,светодиодные ,6,3,210,,светодиодные _6,,
,светодиодные ,6,1,210,,светодиодные _6,,
,светодиодные ,6,5,210,,светодиодные _6,,
,светодиодные ,6,1,210,,светодиодные _6,,
,светодиодные ,6,10,210,,светодиодные _6,,
,светодиодные ,6,5,210,,светодиодные _6,,
,светодиодные ,36,1,210,,светодиодные _36,,
,светодиодные ,6,1,210,,светодиодные _6,,
,светодиодные ,6,3,210,,светодиодные _6,,
,светодиодные ,6,3,210,,светодиодные _6,,
,светодиодные ,6,3,210,,светодиодные _6,,
,светодиодные ,6,3,210,,светодиодные _6,,
,светодиодные ,6,1,210,,светодиодные _6,,
,светодиодные ,6,1,210,,светодиодные _6,,
,светодиодные ,6,1,210,,светодиодные _6,,
,светодиодные ,6,1,230,,светодиодные _6,,
,светодиодные ,6,1,230,,светодиодные _6,,
,люмин.,72,7,230,,люмин._72,люмин._72,
,,,,,,_,_,
,светодиодные ,6,0.1,230,,светодиодные _6,,
,светодиодные ,36,7,230,,светодиодные _36,,
,,,,230,,_,,
,люмин.,72,2,230,,люмин._72,,
,люмин.,72,2,230,,люмин._72,,
,люмин.,72,3,230,,люмин._72,,
,светодиодные ,36,7,230,,светодиодные _36,,
,светодиодные ,36,3,230,,светодиодные _36,,
,люмин.,72,1,230,,люмин._72,,
,светодиодные ,6,1,230,,светодиодные _6,,
,светодиодные ,36,1,230,,светодиодные _36,,
,светодиодные ,36,1,230,,светодиодные _36,,
,,,,230,,_,,
,светодиодные ,24,7,230,,светодиодные _24,светодиодные _24,
,светодиодные ,88,7,230,,светодиодные _88,светодиодные _88,
,светодиодные ,6,0.1,230,,светодиодные _6,,
,светодиодные ,6,1,230,,светодиодные _6,,
,светодиодные ,36,7,230,,светодиодные _36,,
,светодиодные ,6,10,230,,светодиодные _6,,
,светодиодные ,24,5,230,,светодиодные _24,,
,светодиодные ,36,5,230,,светодиодные _36,,
,светодиодные ,36,5,230,,светодиодные _36,,
,светодиодные ,36,5,230,,светодиодные _36,,
,светодиодные ,36,5,230,,светодиодные _36,,
,светодиодные ,36,5,230,,светодиодные _36,,
,люмин.,72,3,230,,люмин._72,,
,люмин.,72,3,230,,люмин._72,,
,люмин.,72,3,230,,люмин._72,,
,светодиодные ,36,5,230,,светодиодные _36,,
,светодиодные ,36,1,230,,светодиодные _36,,
,,,,,,_,,
,светодиодные ,6,3,230,,светодиодные _6,,
,светодиодные,36,7,230,,светодиодные_36,светодиодные_36,
,светодиодные,36,7,230,,светодиодные_36,,
,светодиодные,36,5,230,,светодиодные_36,,
,люмин.,72,5,230,,люмин._72,,
,светодиодные ,36,7,230,,светодиодные _36,,
,люмин./светодиодные,36.72,7,230,10 шт. люм. 5 шт. светодиод,"люмин./светодиодные_36,72","люмин./светодиодные_36,72",
,светодиодные ,36,3,230,,светодиодные _36,,
,люмин,72,5,230,,люмин_72,люмин_72,
,люмин,72,3,230,,люмин_72,,
,люмин,72,3,230,,люмин_72,,
,светодиодные ,36,1,230,,светодиодные _36,,
,светодиодные ,6,1,230,,светодиодные _6,,
,светодиодные ,6,1,230,,светодиодные _6,,
,светодиодные ,6,1,230,,светодиодные _6,,
,светодиодные ,6,1,230,,светодиодные _6,,
,светодиодные ,6,1,230,,светодиодные _6,,
,светодиодные ,6,1,230,,светодиодные _6,,
,светодиодные ,6,1,230,,светодиодные _6,,
,светодиодные ,6,1,230,,светодиодные _6,,
,светодиодные ,36,1,230,,светодиодные _36,,
,светодиодные ,36,1,230,,светодиодные _36,,
,светодиодные ,6,1,230,,светодиодные _6,,
,светодиодные ,6,1,230,,светодиодные _6,,
,светодиодные ,6,1,230,,светодиодные _6,,
,,,,230,,_,,
,,,,230,,_,,
,светодиодные ,6,0.1,230,,светодиодные _6,,
,светодиодные ,6,0.1,230,,светодиодные _6,,
,светодиодные ,36,5,230,,светодиодные _36,,
,люмин,72,4,230,,люмин_72,,
,люмин,72,3,230,,люмин_72,,
,люминис.,72,1,230,,люминис._72,люминис._72,
,люминс.,72,3,230,,люминс._72,люминс._72,
,,,,230,,_,,
,,,,230,,_,,
,светодиодные ,6,2,230,,светодиодные _6,,
,светодиодные ,6,0.1,230,,светодиодные _6,,
,светодиодные ,36,5,230,,светодиодные _36,,
,светодиодные ,36,5,230,,светодиодные _36,,
,светодиодные ,36,5,230,,светодиодные _36,,
,светодиодные ,36,5,230,,светодиодные _36,,
,светодиодные ,36,5,230,,светодиодные _36,,
,,,,230,,_,,
,,,,230,,_,,
,светодиодные ,6,0.1,230,,светодиодные _6,,
,светодиодные ,6,0.1,230,,светодиодные _6,,
,светодиодные ,6,0.1,230,,светодиодные _6,,
,светодиодные ,6,0.1,230,,светодиодные _6,,
,светодиодные ,6,0.1,230,,светодиодные _6,,
,светодиодные ,6,3,230,,светодиодные _6,,
,светодиодные ,6,3,230,,светодиодные _6,,
,светодиодные ,6,4,230,,светодиодные _6,,
,светодиодные ,36,4,230,,светодиодные _36,,
,светодиодные ,6,0.1,230,,светодиодные _6,,
,светодиодные ,36,4,230,,светодиодные _36,,
,люми,72,6,230,,люми_72,люми_72,
,светодиодные ,6,0.1,230,,светодиодные _6,,
,светодиодные ,36,5,230,,светодиодные _36,,
,люмин./,72,5,230,,люмин./_72,люмин./_72,
,люмин.,72,1,230,,люмин._72,,
,светодиодные ,36,1,230,,светодиодные _36,,
,люмин.,72,3,230,,люмин._72,,
,светодиодные ,36,0.1,230,,светодиодные _36,,
,светодиодные ,6,0.1,230,,светодиодные _6,,
,светодиодные ,36,0.1,230,,светодиодные _36,,
,,,,230,,_,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,36,0.1,230,,светодиодные _36,,
,люмин.,72,5,230,,люмин._72,,
,люмин.,72,5,230,,люмин._72,,
,люминис.,72,5,230,,люминис._72,,
,люминс.,72,0.5,230,,люминс._72,,
,люмин./светодиодные,36.72,5,230,4 шт свет. И 12 люм.,"люмин./светодиодные_36,72",,
,светодиодные ,36,3,230,,светодиодные _36,,
,люм.,72,5,230,,люм._72,люм._72,
,люмин./светодиодные,36.72,5,230,3 шт свет. И 12 люм.,"люмин./светодиодные_36,72",,
,люмин,72,1,230,,люмин_72,,
,люмин./светодиодные,36.72,5,230,3 шт свет. И 12 люм.,"люмин./светодиодные_36,72",,
,люмин,72,3,230,,люмин_72,,
,светодиодные ,6,0.1,230,,светодиодные _6,,
,светодиодные,44,1,230,,светодиодные_44,светодиодные_44,
,люмин,72,1,230,,люмин_72,,
,люмин,72,5,230,,люмин_72,,
,светодиодные,22,5,230,,светодиодные_22,светодиодные_22,
,светодиодные,22,5,230,,светодиодные_22,,
,светодиодные,44,5,230,,светодиодные_44,,
,светодиодные,22,5,230,,светодиодные_22,,
,светодиодные,22,5,230,,светодиодные_22,,
,,,,230,,_,,
,светодиодные ,44,5,230,,светодиодные _44,светодиодные _44,
,,,,230,,_,,
,,,,230,,_,,
,люмин./светодиодные,36.72,5,230,7шт свет. И 5 люм.,"люмин./светодиодные_36,72",,
,люмин./светодиодные,36.72,5,230,9шт свет. И 3 люм.,"люмин./светодиодные_36,72",,
,люмин./светодиодные,36.72,5,230,2шт свет. И 10 люм.,"люмин./светодиодные_36,72",,
,люмин./светодиодные,36.72,5,230,4шт свет. И 8 люм.,"люмин./светодиодные_36,72",,
,люмин.,72,3,230,,люмин._72,,
,люмин./светодиодные,36.72,5,230,5шт свет. И 9 люм.,"люмин./светодиодные_36,72",,
,люмин.,72,3,230,,люмин._72,,
,люмин.,72,3,230,,люмин._72,,
,люмин./светодиодные,36.72,5,230,3шт свет. И 9 люм,"люмин./светодиодные_36,72",,
,люмин.,72,1,230,,люмин._72,,
,люмин,72,1,230,,люмин_72,,
,люмин,72,1,230,,люмин_72,,
,люмин./светодиодные,36.72,5,230,4шт свет. И 10 люм,"люмин./светодиодные_36,72",,
,люмин./светодиодные,36.72,5,230,5шт свет. И 7 люм,"люмин./светодиодные_36,72",,
,люмин./светодиодные,72,,230,,люмин./светодиодные_72,люмин./светодиодные_72,
,светодиодные ,6,4,230,,светодиодные _6,,
,люмин./светодиодные,36.72,,230,4шт свет. И 10 люм,"люмин./светодиодные_36,72",,
,люмин,72,3,230,,люмин_72,,
,светодиодные ,36,1,230,,светодиодные _36,,
,люмин./светодиодные,36.72,5,230,6шт свет. И 6 люм,"люмин./светодиодные_36,72",,
,люмин./светодиодные,36.72,5,230,6шт свет. И 6 люм,"люмин./светодиодные_36,72",,
,люмин./светодиодные,36.72,5,230,5шт свет. И 9 люм,"люмин./светодиодные_36,72",,
,люмин./светодиодные,72,1,230,,люмин./светодиодные_72,,
,светодиодные ,6,1,230,,светодиодные _6,,
,светодиодные ,6,1,230,,светодиодные _6,,
,светодиодные ,6,1,230,,светодиодные _6,,
,светодиодные ,6,1,230,,светодиодные _6,,
,светодиодные ,6,1,230,,светодиодные _6,,
,светодиодные ,6,1,230,,светодиодные _6,,
,светодиодные ,6,1,230,,светодиодные _6,,
,светодиодные ,6,1,230,,светодиодные _6,,
,светодиодные ,36,3,230,,светодиодные _36,,
,люмин,72,2,230,,люмин_72,,
,люмин.,72,3,230,,люмин._72,,
,газоразрядные,150,8,230,,газоразрядные_150,газоразрядные_150,
,люмин,72,2,230,,люмин_72,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,люмин,72,2,230,,люмин_72,,
,,,,230,,_,,
,светодиодные ,36,2,230,,светодиодные _36,,
,люмин,72,2,230,,люмин_72,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,люмин,72,1,230,,люмин_72,,
,светодиодные ,36,5,230,,светодиодные _36,,
,светодиодные ,36,5,230,,светодиодные _36,,
,светодиодные ,36,5,230,,светодиодные _36,,
,люмин,72,1,230,,люмин_72,,
,люмин./светодиодные,36.72,3,230,2шт свет. И 7 люм,"люмин./светодиодные_36,72",,
,люмин./светодиодные,36.72,3,230,5шт свет. И 15 люм,"люмин./светодиодные_36,72",,
,люмин./светодиодные,36.72,5,230,2шт свет. И 14 люм,"люмин./светодиодные_36,72",,
,люмин,72,1,230,,люмин_72,,
,люмин,36.72,5,230,2шт свет. И 14 люм,"люмин_36,72","люмин_36,72",
,люмин,72,1,230,,люмин_72,,
,люмин./светодиодные,36.72,5,230,5шт свет. И 10 люм,"люмин./светодиодные_36,72",,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,44,1,230,,светодиодные _44,,
,люмин.,72,2,230,,люмин._72,,
,светодиодные ,22,5,230,,светодиодные _22,светодиодные _22,
,светодиодные ,22,5,230,,светодиодные _22,,
,светодиодные ,22,5,230,,светодиодные _22,,
,светодиодные ,22,5,230,,светодиодные _22,,
,светодиодные ,22,5,230,,светодиодные _22,,
,светодиодные ,44,3,230,,светодиодные _44,,
,светодиодные ,22,6,230,,светодиодные _22,,
,светодиодные ,36,5,230,,светодиодные _36,,
,светодиодные ,6,5,230,,светодиодные _6,,
,светодиодные ,44,2,230,,светодиодные _44,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,,,,230,,_,,
,люмин,72,2,230,,люмин_72,,
,люмин,72,2,230,,люмин_72,,
,люмин,72,5,230,,люмин_72,,
,светодиодные ,36,5,230,,светодиодные _36,,
,светодиодные ,36,5,230,,светодиодные _36,,
,светодиодные ,72,1,230,,светодиодные _72,светодиодные _72,
,светодиодные ,36,5,230,,светодиодные _36,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,люмин.,72,3,230,,люмин._72,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,люмин.,72,1,230,,люмин._72,,
,люмини,72,,230,,люмини_72,люмини_72,
,светодиодные ,36,5,230,,светодиодные _36,,
,светодиодные ,36,5,230,,светодиодные _36,,
,люмин.,72,1,230,,люмин._72,,
,люмин,72,3,230,,люмин_72,,
,люмини,72,3,230,,люмини_72,,
,люмин./светодиодные,36.72,5,230,1шт свет. И 13 люм,"люмин./светодиодные_36,72",,
,люмин.,72,3,230,,люмин._72,,
,люмин./светодиодные,36.72,5,230,2шт свет. И 12 люм,"люмин./светодиодные_36,72",,
,люмин,72,2,230,,люмин_72,,
,люмини,72,5,230,,люмини_72,,
,люмин,72,0.5,230,,люмин_72,,
,светодиодные ,6,0.5,230,,светодиодные _6,,
,светодиодные ,22,0.5,230,,светодиодные _22,,
,светодиодные ,44,5,230,,светодиодные _44,,
,светодиодные ,6,0.1,230,,светодиодные _6,,
,светодиодные ,6,0.1,230,,светодиодные _6,,
,светодиодные ,6,0.1,230,,светодиодные _6,,
,светодиодные ,6,0.1,230,,светодиодные _6,,
,светодиодные ,6,0.1,230,,светодиодные _6,,
,светодиодные ,6,0.1,230,,светодиодные _6,,
,светодиодные ,6,0.1,230,,светодиодные _6,,
,светодиодные ,22,3,230,,светодиодные _22,,
,светодиодные ,22,3,230,,светодиодные _22,,
,светодиодные ,44,5,230,,светодиодные _44,,
,светодиодные _6,светодиодные _6,светодиодные _6,448.6732026143791,153.0,,,
,светодиодные _6,,светодиодные_22,1150.0,26.0,,,1174.2105263157894
,светодиодные _6,,светодиодные _24,1226.6666666666667,12.0,,,38.0
,светодиодные _36,светодиодные _36,светодиодные _36,1052.6344086021506,279.0,,,
,светодиодные _36,,светодиодные _88,1610.0,22.0,,,
,светодиодные _36,,светодиодные_44,690.0,4.0,,,986.2121212121212
,светодиодные _36,,светодиодные _44,1005.3225806451613,62.0,,,66.0
,светодиодные _36,,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _6,,люмин._72,1029.440203562341,393.0,,,924.2096505823628
,светодиодные _6,,люмин_72,751.390977443609,133.0,,,601.0
,светодиодные _6,,люминис._72,982.7272727272727,11.0,,,
,светодиодные _6,,люминс._72,498.3333333333333,3.0,,,
,светодиодные _6,,люми_72,1380.0,3.0,,,
,светодиодные _6,,люм._72,1150.0,6.0,,,
,светодиодные _6,,люмини_72,530.7692307692307,52.0,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,газоразрядные_150,1840.0,12.0,,,
,светодиодные _36,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,люмин._72,люмин._72,,,,,,
,_,_,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _36,,,,,,,
,_,,,,,,,
,люмин._72,,,,,,,
,люмин._72,,,,,,,
,люмин._72,,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _36,,,,,,,
,люмин._72,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _36,,,,,,,
,_,,,,,,,
,светодиодные _24,светодиодные _24,,,,,,
,светодиодные _88,светодиодные _88,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _24,,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _36,,,,,,,
,люмин._72,,,,,,,
,люмин._72,,,,,,,
,люмин._72,,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _36,,,,,,,
,_,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные_36,светодиодные_36,,,,,,
,светодиодные_36,,,,,,,
,светодиодные_36,,,,,,,
,люмин._72,,,,,,,
,светодиодные _36,,,,,,,
,люмин._72,,,,,,,
,светодиодные_36,,,,,,,
,светодиодные _36,,,,,,,
,люмин_72,люмин_72,,,,,,
,люмин_72,,,,,,,
,люмин_72,,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,_,,,,,,,
,_,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _36,,,,,,,
,люмин_72,,,,,,,
,люмин_72,,,,,,,
,люминис._72,люминис._72,,,,,,
,люминс._72,люминс._72,,,,,,
,_,,,,,,,
,_,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _36,,,,,,,
,_,,,,,,,
,_,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _36,,,,,,,
,люми_72,люми_72,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _36,,,,,,,
,люмин._72,,,,,,,
,люмин._72,,,,,,,
,светодиодные _36,,,,,,,
,люмин._72,,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _36,,,,,,,
,_,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _36,,,,,,,
,люмин._72,,,,,,,
,люмин._72,,,,,,,
,люминис._72,,,,,,,
,люминс._72,,,,,,,
,люмин._72,,,,,,,
,светодиодные_36,,,,,,,
,светодиодные _36,,,,,,,
,люм._72,люм._72,,,,,,
,люмин._72,,,,,,,
,светодиодные_36,,,,,,,
,люмин_72,,,,,,,
,люмин._72,,,,,,,
,светодиодные_36,,,,,,,
,люмин_72,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные_44,светодиодные_44,,,,,,
,люмин_72,,,,,,,
,люмин_72,,,,,,,
,светодиодные_22,светодиодные_22,,,,,,
,светодиодные_22,,,,,,,
,светодиодные_44,,,,,,,
,светодиодные_22,,,,,,,
,светодиодные_22,,,,,,,
,_,,,,,,,
,светодиодные _44,светодиодные _44,,,,,,
,_,,,,,,,
,_,,,,,,,
,люмин._72,,,,,,,
,светодиодные_36,,,,,,,
,люмин._72,,,,,,,
,светодиодные_36,,,,,,,
,люмин._72,,,,,,,
,светодиодные_36,,,,,,,
,люмин._72,,,,,,,
,светодиодные_36,,,,,,,
,люмин._72,,,,,,,
,люмин._72,,,,,,,
,светодиодные_36,,,,,,,
,люмин._72,,,,,,,
,люмин._72,,,,,,,
,люмин._72,,,,,,,
,светодиодные_36,,,,,,,
,люмин._72,,,,,,,
,люмин_72,,,,,,,
,люмин_72,,,,,,,
,люмин._72,,,,,,,
,светодиодные_36,,,,,,,
,люмин._72,,,,,,,
,светодиодные_36,,,,,,,
,люмин._72,,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _6,,,,,,,
,люмин._72,,,,,,,
,светодиодные _36,,,,,,,
,люмин_72,,,,,,,
,светодиодные _36,,,,,,,
,люмин._72,,,,,,,
,светодиодные_36,,,,,,,
,люмин._72,,,,,,,
,светодиодные_36,,,,,,,
,люмин._72,,,,,,,
,светодиодные_36,,,,,,,
,люмин._72,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _36,,,,,,,
,люмин_72,,,,,,,
,люмин._72,,,,,,,
,газоразрядные_150,газоразрядные_150,,,,,,
,люмин_72,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,люмин_72,,,,,,,
,_,,,,,,,
,светодиодные _36,,,,,,,
,люмин_72,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,люмин_72,,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _36,,,,,,,
,люмин_72,,,,,,,
,люмин._72,,,,,,,
,светодиодные_36,,,,,,,
,люмин._72,,,,,,,
,светодиодные_36,,,,,,,
,люмин._72,,,,,,,
,светодиодные_36,,,,,,,
,люмин_72,,,,,,,
,люмин_72,,,,,,,
,светодиодные_36,,,,,,,
,люмин_72,,,,,,,
,люмин._72,,,,,,,
,светодиодные_36,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _44,,,,,,,
,люмин._72,,,,,,,
,светодиодные _22,светодиодные _22,,,,,,
,светодиодные _22,,,,,,,
,светодиодные _22,,,,,,,
,светодиодные _22,,,,,,,
,светодиодные _22,,,,,,,
,светодиодные _44,,,,,,,
,светодиодные _22,,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _44,,,,,,,
,светодиодные _6,,,,,,,
,_,,,,,,,
,люмин_72,,,,,,,
,люмин_72,,,,,,,
,люмин_72,,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _44,,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _6,,,,,,,
,люмин._72,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,люмин._72,,,,,,,
,люмини_72,люмини_72,,,,,,
,светодиодные _36,,,,,,,
,светодиодные _36,,,,,,,
,люмин._72,,,,,,,
,люмин_72,,,,,,,
,люмини_72,,,,,,,
,люмин._72,,,,,,,
,светодиодные_36,,,,,,,
,люмин._72,,,,,,,
,люмин._72,,,,,,,
,светодиодные_36,,,,,,,
,люмин_72,,,,,,,
,люмини_72,,,,,,,
,люмин_72,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _22,,,,,,,
,светодиодные _44,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _6,,,,,,,
,светодиодные _22,,,,,,,
,светодиодные _22,,,,,,,
,светодиодные _44,,,,,,,
,светодиод-ная лента,36,10,299,36,св_12,2990.0,12.0
,светодиод-ная лента,36,10,299,36,св_18,2990.0,18.0
,светодиод-ная лента,38,10,299,36,св_36,2990.0,726.0
,светодиод-ная лента,36,10,299,36,св_38,2990.0,18.0
,светодиод-ная лента,36,10,299,36,люм_72,2990.0,44.0
,светодиод-ная лента,12,10,299,0.12,,,
,светодиод-ная лента,18,10,299,18,,,
,ЛБ-40,36,10,299,72,,,
,ЛБ36,72,8,273,,люм_2*36,79.0,2184.0
,Т8/20,40,8,273,,сд_2*20,96.0,2184.0
,,36,8,273,,сд_36,111.0,2184.0
,ЛБ36,72,8,273,,,,
,Т8/20,40,8,273,,,1.0,
,,36,8,273,,,,
,ЛБ36,72,8,273,,,,
,Т8/20,40,8,273,,,,
,,36,8,273,,,,
,Т8/20,36,8,273,,,,
,Т8/20,40,8,273,,,,
,ЛБ36,72,8,273,,,,
,ЛБ36,72,8,273,,,,
,ЛБ36,72,8,273,,,,
,ЛБ36,72,8,273,,,,
